Id,,dG [kcal/mol] mean
A896_out_frst.sdf,,-7.601469704
A900_out_frst.sdf,,-9.108675691
A901_out_frst.sdf,,-8.600959182
A914_out_frst.sdf,,-6.867102793
A923_out_frst.sdf,,-8.617395176
A929_out_frst.sdf,,-7.162365818
A934_out_frst.sdf,,-8.205119205
A940_out_frst.sdf,,-8.4022303
A942_out_frst.sdf,,-10.11802095
A943_out_frst.sdf,,-8.160666878
A944_out_frst.sdf,,-8.391233918
A946_out_frst.sdf,,-8.13733543
A947_out_frst.sdf,,-10.25771592
A949_out_frst.sdf,,-7.392813124
A958_out_frst.sdf,,-9.559973758
A959_out_frst.sdf,,-8.827427867
A960_out_frst.sdf,,-7.548642448
A968_out_frst.sdf,,-8.241483889
A970_out_frst.sdf,,-8.067236526
A971_out_frst.sdf,,-9.211934699
A973_out_frst.sdf,,-10.42462347
A974_out_frst.sdf,,-10.43728491
A977_out_frst.sdf,,-8.593504878
A981_out_frst.sdf,,-8.375710825
A982_out_frst.sdf,,-10.51939361
A983_out_frst.sdf,,-8.664572045
A987_out_frst.sdf,,-8.834871227
A993_out_frst.sdf,,-8.543529163
A997_out_frst.sdf,,-8.378123525
A999_out_frst.sdf,,-8.114240323
A572_out_frst.sdf,,-8.295321894
A573_out_frst.sdf,,-9.422549139
A577_out_frst.sdf,,-8.310139734
A581_out_frst.sdf,,-7.806800682
A586_out_frst.sdf,,-8.221368609
A587_out_frst.sdf,,-7.454355475
A588_out_frst.sdf,,-9.584322207
A589_out_frst.sdf,,-6.965837574
A590_out_frst.sdf,,-8.40235546
A592_out_frst.sdf,,-7.573918145
A593_out_frst.sdf,,-9.424370895
A601_out_frst.sdf,,-7.396366423
A603_out_frst.sdf,,-8.019282675
A604_out_frst.sdf,,-7.364332754
A605_out_frst.sdf,,-7.800611768
A610_out_frst.sdf,,-9.143233609
A617_out_frst.sdf,,-8.516770312
A618_out_frst.sdf,,-8.463942688
A621_out_frst.sdf,,-10.58773642
A622_out_frst.sdf,,-8.087710364
A624_out_frst.sdf,,-8.41553749
A626_out_frst.sdf,,-9.823602962
A627_out_frst.sdf,,-8.728495737
A628_out_frst.sdf,,-7.785610924
A629_out_frst.sdf,,-8.114396933
A630_out_frst.sdf,,-8.068606751
A631_out_frst.sdf,,-9.289993879
A632_out_frst.sdf,,-8.348305024
A633_out_frst.sdf,,-8.088093383
A634_out_frst.sdf,,-8.501274899
A638_out_frst.sdf,,-8.755933632
A644_out_frst.sdf,,-8.481527741
A646_out_frst.sdf,,-9.14280608
A651_out_frst.sdf,,-7.316859126
A660_out_frst.sdf,,-8.954899039
A661_out_frst.sdf,,-10.10939929
A664_out_frst.sdf,,-8.737582908
A666_out_frst.sdf,,-9.411346487
